Start date,Start time,End time,Subject
24/08/2020,11:45 AM,12:55 PM,12 CS HL/SL
24/08/2020,1:50 PM,3:00 PM,11 CS
25/08/2020,7:55 AM,9:05 AM,12 CS HL/SL
25/08/2020,9:10 AM,10:20 AM,12 CS HL
25/08/2020,1:50 PM,3:00 PM,13 CS HL/SL
26/08/2020,7:55 AM,9:05 AM,11 CS
26/08/2020,1:50 PM,3:00 PM,12 CS HL/SL
27/08/2020,7:55 AM,9:05 AM,13 CS HL/SL
27/08/2020,9:10 AM,10:20 AM,12 CS HL/SL
27/08/2020,11:45 AM,12:55 PM,12 CS HL
27/08/2020,1:50 PM,3:00 PM,Planning
28/08/2020,7:55 AM,9:05 AM,12 CS HL/SL
28/08/2020,9:10 AM,10:20 AM,11 CS
28/08/2020,11:45 AM,12:55 PM,12 CS HL
31/08/2020,9:10 AM,10:20 AM,13 CS HL/SL
31/08/2020,11:45 AM,12:55 PM,12 CS HL/SL
1/09/2020,9:10 AM,10:20 AM,12 CS HL/SL
1/09/2020,11:45 AM,12:55 PM,11 CS
2/09/2020,7:55 AM,9:05 AM,Planning
2/09/2020,11:45 AM,12:55 PM,13 CS HL/SL
2/09/2020,1:50 PM,3:00 PM,12 CS HL/SL
3/09/2020,11:45 AM,12:55 PM,12 CS HL/SL
3/09/2020,1:50 PM,3:00 PM,11 CS
4/09/2020,7:55 AM,9:05 AM,12 CS HL/SL
4/09/2020,9:10 AM,10:20 AM,12 CS HL
4/09/2020,1:50 PM,3:00 PM,13 CS HL/SL
7/09/2020,7:55 AM,9:05 AM,11 CS
7/09/2020,1:50 PM,3:00 PM,12 CS HL/SL
8/09/2020,7:55 AM,9:05 AM,13 CS HL/SL
8/09/2020,9:10 AM,10:20 AM,12 CS HL/SL
8/09/2020,11:45 AM,12:55 PM,12 CS HL
8/09/2020,1:50 PM,3:00 PM,Planning
9/09/2020,7:55 AM,9:05 AM,12 CS HL/SL
9/09/2020,9:10 AM,10:20 AM,11 CS
9/09/2020,11:45 AM,12:55 PM,12 CS HL
10/09/2020,9:10 AM,10:20 AM,13 CS HL/SL
10/09/2020,11:45 AM,12:55 PM,12 CS HL/SL
11/09/2020,9:10 AM,10:20 AM,12 CS HL/SL
11/09/2020,11:45 AM,12:55 PM,11 CS
14/09/2020,7:55 AM,9:05 AM,Planning
14/09/2020,11:45 AM,12:55 PM,13 CS HL/SL
14/09/2020,1:50 PM,3:00 PM,12 CS HL/SL
15/09/2020,11:45 AM,12:55 PM,12 CS HL/SL
15/09/2020,1:50 PM,3:00 PM,11 CS
16/09/2020,7:55 AM,9:05 AM,12 CS HL/SL
16/09/2020,9:10 AM,10:20 AM,12 CS HL
16/09/2020,1:50 PM,3:00 PM,13 CS HL/SL
17/09/2020,7:55 AM,9:05 AM,11 CS
17/09/2020,1:50 PM,3:00 PM,12 CS HL/SL
18/09/2020,7:55 AM,9:05 AM,13 CS HL/SL
18/09/2020,9:10 AM,10:20 AM,12 CS HL/SL
18/09/2020,11:45 AM,12:55 PM,12 CS HL
18/09/2020,1:50 PM,3:00 PM,Planning
21/09/2020,7:55 AM,9:05 AM,12 CS HL/SL
21/09/2020,9:10 AM,10:20 AM,11 CS
21/09/2020,11:45 AM,12:55 PM,12 CS HL
22/09/2020,9:10 AM,10:20 AM,13 CS HL/SL
22/09/2020,11:45 AM,12:55 PM,12 CS HL/SL
23/09/2020,9:10 AM,10:20 AM,12 CS HL/SL
23/09/2020,11:45 AM,12:55 PM,11 CS
25/09/2020,7:55 AM,9:05 AM,Planning
25/09/2020,11:45 AM,12:55 PM,13 CS HL/SL
25/09/2020,1:50 PM,3:00 PM,12 CS HL/SL
28/09/2020,11:45 AM,12:55 PM,12 CS HL/SL
28/09/2020,1:50 PM,3:00 PM,11 CS
29/09/2020,7:55 AM,9:05 AM,12 CS HL/SL
29/09/2020,9:10 AM,10:20 AM,12 CS HL
29/09/2020,1:50 PM,3:00 PM,13 CS HL/SL
30/09/2020,7:55 AM,9:05 AM,11 CS
30/09/2020,1:50 PM,3:00 PM,12 CS HL/SL
5/10/2020,7:55 AM,9:05 AM,13 CS HL/SL
5/10/2020,9:10 AM,10:20 AM,12 CS HL/SL
5/10/2020,11:45 AM,12:55 PM,12 CS HL
5/10/2020,1:50 PM,3:00 PM,Planning
6/10/2020,7:55 AM,9:05 AM,12 CS HL/SL
6/10/2020,9:10 AM,10:20 AM,11 CS
6/10/2020,11:45 AM,12:55 PM,12 CS HL
7/10/2020,9:10 AM,10:20 AM,13 CS HL/SL
7/10/2020,11:45 AM,12:55 PM,12 CS HL/SL
8/10/2020,9:10 AM,10:20 AM,12 CS HL/SL
8/10/2020,11:45 AM,12:55 PM,11 CS
9/10/2020,7:55 AM,9:05 AM,Planning
9/10/2020,11:45 AM,12:55 PM,13 CS HL/SL
9/10/2020,1:50 PM,3:00 PM,12 CS HL/SL
12/10/2020,11:45 AM,12:55 PM,12 CS HL/SL
12/10/2020,1:50 PM,3:00 PM,11 CS
13/10/2020,7:55 AM,9:05 AM,12 CS HL/SL
13/10/2020,9:10 AM,10:20 AM,12 CS HL
13/10/2020,1:50 PM,3:00 PM,13 CS HL/SL
14/10/2020,7:55 AM,9:05 AM,11 CS
14/10/2020,1:50 PM,3:00 PM,12 CS HL/SL
15/10/2020,7:55 AM,9:05 AM,13 CS HL/SL
15/10/2020,9:10 AM,10:20 AM,12 CS HL/SL
15/10/2020,11:45 AM,12:55 PM,12 CS HL
15/10/2020,1:50 PM,3:00 PM,Planning
16/10/2020,7:55 AM,9:05 AM,12 CS HL/SL
16/10/2020,9:10 AM,10:20 AM,11 CS
16/10/2020,11:45 AM,12:55 PM,12 CS HL
27/10/2020,9:10 AM,10:20 AM,13 CS HL/SL
27/10/2020,11:45 AM,12:55 PM,12 CS HL/SL
28/10/2020,9:10 AM,10:20 AM,12 CS HL/SL
28/10/2020,11:45 AM,12:55 PM,11 CS
29/10/2020,7:55 AM,9:05 AM,Planning
29/10/2020,11:45 AM,12:55 PM,13 CS HL/SL
29/10/2020,1:50 PM,3:00 PM,12 CS HL/SL
30/10/2020,11:45 AM,12:55 PM,12 CS HL/SL
30/10/2020,1:50 PM,3:00 PM,11 CS
2/11/2020,7:55 AM,9:05 AM,12 CS HL/SL
2/11/2020,9:10 AM,10:20 AM,12 CS HL
2/11/2020,1:50 PM,3:00 PM,13 CS HL/SL
3/11/2020,7:55 AM,9:05 AM,11 CS
3/11/2020,1:50 PM,3:00 PM,12 CS HL/SL
4/11/2020,7:55 AM,9:05 AM,13 CS HL/SL
4/11/2020,9:10 AM,10:20 AM,12 CS HL/SL
4/11/2020,11:45 AM,12:55 PM,12 CS HL
4/11/2020,1:50 PM,3:00 PM,Planning
5/11/2020,7:55 AM,9:05 AM,12 CS HL/SL
5/11/2020,9:10 AM,10:20 AM,11 CS
5/11/2020,11:45 AM,12:55 PM,12 CS HL
6/11/2020,9:10 AM,10:20 AM,13 CS HL/SL
6/11/2020,11:45 AM,12:55 PM,12 CS HL/SL
9/11/2020,9:10 AM,10:20 AM,12 CS HL/SL
9/11/2020,11:45 AM,12:55 PM,11 CS
10/11/2020,7:55 AM,9:05 AM,Planning
10/11/2020,11:45 AM,12:55 PM,13 CS HL/SL
10/11/2020,1:50 PM,3:00 PM,12 CS HL/SL
11/11/2020,11:45 AM,12:55 PM,12 CS HL/SL
11/11/2020,1:50 PM,3:00 PM,11 CS
12/11/2020,7:55 AM,9:05 AM,12 CS HL/SL
12/11/2020,9:10 AM,10:20 AM,12 CS HL
12/11/2020,1:50 PM,3:00 PM,13 CS HL/SL
17/11/2020,7:55 AM,9:05 AM,11 CS
17/11/2020,1:50 PM,3:00 PM,12 CS HL/SL
18/11/2020,7:55 AM,9:05 AM,13 CS HL/SL
18/11/2020,9:10 AM,10:20 AM,12 CS HL/SL
18/11/2020,11:45 AM,12:55 PM,12 CS HL
18/11/2020,1:50 PM,3:00 PM,Planning
19/11/2020,7:55 AM,9:05 AM,12 CS HL/SL
19/11/2020,9:10 AM,10:20 AM,11 CS
19/11/2020,11:45 AM,12:55 PM,12 CS HL
23/11/2020,9:10 AM,10:20 AM,13 CS HL/SL
23/11/2020,11:45 AM,12:55 PM,12 CS HL/SL
24/11/2020,9:10 AM,10:20 AM,12 CS HL/SL
24/11/2020,11:45 AM,12:55 PM,11 CS
25/11/2020,7:55 AM,9:05 AM,Planning
25/11/2020,11:45 AM,12:55 PM,13 CS HL/SL
25/11/2020,1:50 PM,3:00 PM,12 CS HL/SL
26/11/2020,11:45 AM,12:55 PM,12 CS HL/SL
26/11/2020,1:50 PM,3:00 PM,11 CS
27/11/2020,7:55 AM,9:05 AM,12 CS HL/SL
27/11/2020,9:10 AM,10:20 AM,12 CS HL
27/11/2020,1:50 PM,3:00 PM,13 CS HL/SL
30/11/2020,7:55 AM,9:05 AM,11 CS
30/11/2020,1:50 PM,3:00 PM,12 CS HL/SL
1/12/2020,7:55 AM,9:05 AM,13 CS HL/SL
1/12/2020,9:10 AM,10:20 AM,12 CS HL/SL
1/12/2020,11:45 AM,12:55 PM,12 CS HL
1/12/2020,1:50 PM,3:00 PM,Planning
2/12/2020,7:55 AM,9:05 AM,12 CS HL/SL
2/12/2020,9:10 AM,10:20 AM,11 CS
2/12/2020,11:45 AM,12:55 PM,12 CS HL
3/12/2020,9:10 AM,10:20 AM,13 CS HL/SL
3/12/2020,11:45 AM,12:55 PM,12 CS HL/SL
4/12/2020,9:10 AM,10:20 AM,12 CS HL/SL
4/12/2020,11:45 AM,12:55 PM,11 CS
7/12/2020,7:55 AM,9:05 AM,Planning
7/12/2020,11:45 AM,12:55 PM,13 CS HL/SL
7/12/2020,1:50 PM,3:00 PM,12 CS HL/SL
8/12/2020,11:45 AM,12:55 PM,12 CS HL/SL
8/12/2020,1:50 PM,3:00 PM,11 CS
9/12/2020,7:55 AM,9:05 AM,12 CS HL/SL
9/12/2020,9:10 AM,10:20 AM,12 CS HL
9/12/2020,1:50 PM,3:00 PM,13 CS HL/SL
10/12/2020,7:55 AM,9:05 AM,11 CS
10/12/2020,1:50 PM,3:00 PM,12 CS HL/SL
11/12/2020,7:55 AM,9:05 AM,13 CS HL/SL
11/12/2020,9:10 AM,10:20 AM,12 CS HL/SL
11/12/2020,11:45 AM,12:55 PM,12 CS HL
11/12/2020,1:50 PM,3:00 PM,Planning
14/12/2020,7:55 AM,9:05 AM,12 CS HL/SL
14/12/2020,9:10 AM,10:20 AM,11 CS
14/12/2020,11:45 AM,12:55 PM,12 CS HL
15/12/2020,9:10 AM,10:20 AM,13 CS HL/SL
15/12/2020,11:45 AM,12:55 PM,12 CS HL/SL
16/12/2020,9:10 AM,10:20 AM,12 CS HL/SL
16/12/2020,11:45 AM,12:55 PM,11 CS
17/12/2020,7:55 AM,9:05 AM,Planning
17/12/2020,11:45 AM,12:55 PM,13 CS HL/SL
17/12/2020,1:50 PM,3:00 PM,12 CS HL/SL
18/12/2020,11:45 AM,12:55 PM,12 CS HL/SL
18/12/2020,1:50 PM,3:00 PM,11 CS
21/12/2020,7:55 AM,9:05 AM,12 CS HL/SL
21/12/2020,9:10 AM,10:20 AM,12 CS HL
21/12/2020,1:50 PM,3:00 PM,13 CS HL/SL
22/12/2020,7:55 AM,9:05 AM,11 CS
22/12/2020,1:50 PM,3:00 PM,12 CS HL/SL
23/12/2020,7:55 AM,9:05 AM,13 CS HL/SL
23/12/2020,9:10 AM,10:20 AM,12 CS HL/SL
23/12/2020,11:45 AM,12:55 PM,12 CS HL
23/12/2020,1:50 PM,3:00 PM,Planning
24/12/2020,7:55 AM,9:05 AM,12 CS HL/SL
24/12/2020,9:10 AM,10:20 AM,11 CS
24/12/2020,11:45 AM,12:55 PM,12 CS HL
25/12/2020,9:10 AM,10:20 AM,13 CS HL/SL
25/12/2020,11:45 AM,12:55 PM,12 CS HL/SL
28/12/2020,9:10 AM,10:20 AM,12 CS HL/SL
28/12/2020,11:45 AM,12:55 PM,11 CS
29/12/2020,7:55 AM,9:05 AM,Planning
29/12/2020,11:45 AM,12:55 PM,13 CS HL/SL
29/12/2020,1:50 PM,3:00 PM,12 CS HL/SL
30/12/2020,11:45 AM,12:55 PM,12 CS HL/SL
30/12/2020,1:50 PM,3:00 PM,11 CS
31/12/2020,7:55 AM,9:05 AM,12 CS HL/SL
31/12/2020,9:10 AM,10:20 AM,12 CS HL
31/12/2020,1:50 PM,3:00 PM,13 CS HL/SL
1/01/2021,7:55 AM,9:05 AM,11 CS
1/01/2021,1:50 PM,3:00 PM,12 CS HL/SL
4/01/2021,7:55 AM,9:05 AM,13 CS HL/SL
4/01/2021,9:10 AM,10:20 AM,12 CS HL/SL
4/01/2021,11:45 AM,12:55 PM,12 CS HL
4/01/2021,1:50 PM,3:00 PM,Planning
5/01/2021,7:55 AM,9:05 AM,12 CS HL/SL
5/01/2021,9:10 AM,10:20 AM,11 CS
5/01/2021,11:45 AM,12:55 PM,12 CS HL
6/01/2021,9:10 AM,10:20 AM,13 CS HL/SL
6/01/2021,11:45 AM,12:55 PM,12 CS HL/SL
7/01/2021,9:10 AM,10:20 AM,12 CS HL/SL
7/01/2021,11:45 AM,12:55 PM,11 CS
8/01/2021,7:55 AM,9:05 AM,Planning
8/01/2021,11:45 AM,12:55 PM,13 CS HL/SL
8/01/2021,1:50 PM,3:00 PM,12 CS HL/SL
11/01/2021,11:45 AM,12:55 PM,12 CS HL/SL
11/01/2021,1:50 PM,3:00 PM,11 CS
12/01/2021,7:55 AM,9:05 AM,12 CS HL/SL
12/01/2021,9:10 AM,10:20 AM,12 CS HL
12/01/2021,1:50 PM,3:00 PM,13 CS HL/SL
13/01/2021,7:55 AM,9:05 AM,11 CS
13/01/2021,1:50 PM,3:00 PM,12 CS HL/SL
14/01/2021,7:55 AM,9:05 AM,13 CS HL/SL
14/01/2021,9:10 AM,10:20 AM,12 CS HL/SL
14/01/2021,11:45 AM,12:55 PM,12 CS HL
14/01/2021,1:50 PM,3:00 PM,Planning
15/01/2021,7:55 AM,9:05 AM,12 CS HL/SL
15/01/2021,9:10 AM,10:20 AM,11 CS
15/01/2021,11:45 AM,12:55 PM,12 CS HL
18/01/2021,9:10 AM,10:20 AM,13 CS HL/SL
18/01/2021,11:45 AM,12:55 PM,12 CS HL/SL
19/01/2021,9:10 AM,10:20 AM,12 CS HL/SL
19/01/2021,11:45 AM,12:55 PM,11 CS
20/01/2021,7:55 AM,9:05 AM,Planning
20/01/2021,11:45 AM,12:55 PM,13 CS HL/SL
20/01/2021,1:50 PM,3:00 PM,12 CS HL/SL
21/01/2021,11:45 AM,12:55 PM,12 CS HL/SL
21/01/2021,1:50 PM,3:00 PM,11 CS
22/01/2021,7:55 AM,9:05 AM,12 CS HL/SL
22/01/2021,9:10 AM,10:20 AM,12 CS HL
22/01/2021,1:50 PM,3:00 PM,13 CS HL/SL
25/01/2021,7:55 AM,9:05 AM,11 CS
25/01/2021,1:50 PM,3:00 PM,12 CS HL/SL
26/01/2021,7:55 AM,9:05 AM,13 CS HL/SL
26/01/2021,9:10 AM,10:20 AM,12 CS HL/SL
26/01/2021,11:45 AM,12:55 PM,12 CS HL
26/01/2021,1:50 PM,3:00 PM,Planning
27/01/2021,7:55 AM,9:05 AM,12 CS HL/SL
27/01/2021,9:10 AM,10:20 AM,11 CS
27/01/2021,11:45 AM,12:55 PM,12 CS HL
28/01/2021,9:10 AM,10:20 AM,13 CS HL/SL
28/01/2021,11:45 AM,12:55 PM,12 CS HL/SL
29/01/2021,9:10 AM,10:20 AM,12 CS HL/SL
29/01/2021,11:45 AM,12:55 PM,11 CS
1/02/2021,7:55 AM,9:05 AM,Planning
1/02/2021,11:45 AM,12:55 PM,13 CS HL/SL
1/02/2021,1:50 PM,3:00 PM,12 CS HL/SL
2/02/2021,11:45 AM,12:55 PM,12 CS HL/SL
2/02/2021,1:50 PM,3:00 PM,11 CS
3/02/2021,7:55 AM,9:05 AM,12 CS HL/SL
